Classe: 1
global : 776
aquecer : 732
efeito : 98
calor : 84
dizer : 83
climático : 79
existir : 76
falar : 72
mudança : 69
planeta : 60
ver : 60
acreditar : 59
ainda : 57
gente : 55
mundo : 54
achar : 53
terra : 52
saber : 51
temperatura : 48
estufar : 44
querer : 44
real : 44
aquecimento : 44
dia : 43
pessoa : 41
estufa : 40
agora : 40
gás : 40
quando : 37
podar : 36
sim : 35
aqui : 35
país : 34
frio : 34
emissão : 32
humano : 32
preocupar : 30
dar : 30
aí : 30
morrer : 29
dever : 29
pensar : 29
causar : 28
quente : 28
vir : 28
bem : 28
inverno : 28
tão : 28
coisa : 26
acabar : 26
parar : 26
tempo : 25
maior : 25
onda : 25
falir : 24
chegar : 24
usar : 24
culpa : 24
verão : 23
clima : 23
meio : 23
passar : 23
depois : 23
cara : 23
aumentar : 23
hoje : 22
problema : 22
negar : 22
assim : 22
chuva : 21
causa : 20
acontecer : 20
contribuir : 20
precisar : 20
antes : 20
deixar : 20
matar : 20
também : 19
vez : 19
começar : 19
político : 19
consequência : 18
mesmo : 18
chamar : 17
aumento : 17
responsável : 17
merda : 17
poluir : 17
grau : 17
viver : 17
ciente : 16
homem : 16
alterar : 16
água : 16
lá : 16
onde : 16
ambiente : 16
parir : 16
novo : 15
esperar : 15
animal : 15
grande : 15
vida : 15
cientista : 15
carne : 15
científico : 15
deus : 15
verdade : 15
chover : 14
pior : 14
então : 14
mal : 14
estudo : 14
forma : 14
alto : 14
afetar : 13
principal : 13
ciência : 13
ambiental : 13
levar : 13
extremo : 13
natural : 13
mostrar : 12
crescer : 12
pessoal : 12
semana : 12
comer : 12
derreter : 12
floresta : 12
hora : 12
tomar : 12
último : 12
século : 12
impacto : 12
polar : 12
energia : 12
colocar : 12
lembrar : 12
facto : 11
mundial : 11
nunca : 11
combater : 11
mano : 11
incêndio : 11
reclamar : 11
gostar : 11
destruir : 11
direito : 11
atmosfera : 11
sempre : 11
bom : 11
lugar : 11
diminuir : 11
governo : 10
vídeo : 10
apenas : 10
mar : 10
conseguir : 10
médio : 10
agosto : 10
explicar : 10
mandar : 10
conhecer : 10
risco : 10
invenção : 10
queimar : 10
certeza : 10
assunto : 10
casa : 10
discutir : 10
plano : 10
sofrer : 10
parte : 10
quase : 10
informar : 10
assistir : 9
bater : 9
duvidar : 9
tipo : 9
acordo : 9
sério : 9
natureza : 9
defender : 9
morte : 9
candidato : 9
perceber : 9
humanidade : 9
salvar : 9
nova : 8
carbono : 8
ligar : 8
ler : 8
melhor : 8
trazer : 8
obrigar : 8
mudar : 8
gerar : 8
oceano : 8
documentário : 8
consumo : 8
ideia : 8
vacina : 8
ajudar : 8
futuro : 8
cidade : 8
recurso : 8
fim : 8
importar : 8
humanos : 8
sentir : 8
direto : 8
faltar : 8
história : 8
boa : 8
seca : 8
diferente : 8
entender : 8
provocar : 8
normal : 8
indústria : 8
tirar : 8
tanto : 8
pedir : 7
especial : 7
lixo : 7
entrar : 7
nascer : 7
descobrir : 7
imaginar : 7
piorar : 7
próximo : 7
final : 7
triste : 7
mito : 7
perder : 7
opinião : 7
praia : 7
professor : 7
extinção : 7
escola : 7
esquerda : 7
mentira : 7
ciclo : 7
atingir : 7
momento : 7
povo : 7
rio : 7
notícia : 7
possível : 7
criar : 7
odiar : 7
calota : 7
caso : 7
fogo : 7
economia : 7
direita : 7
fome : 7
votar : 7
sol : 7
social : 7
dado : 7
reduzir : 7
correr : 7
ouvir : 7
cuidar : 7
acelerar : 7
filho : 7
aparecer : 7
paris : 7
estudar : 6
liberar : 6
geleira : 6
monocultura : 6
importante : 6
solar : 6
fator : 6
geral : 6
culpar : 6
medo : 6
ignorar : 6
logo : 6
redução : 6
pecuária : 6
número : 6
resolver : 6
alertar : 6
seriar : 6
local : 6
morar : 6
modelo : 6
devir : 6
nível : 6
neve : 6
gelo : 6
estado : 6
criança : 6
processo : 6
cu : 6
resultado : 6
claro : 6
região : 6
amar : 6
lucro : 6
subir : 6
política : 6
esquecer : 6
atrás : 6
amor : 6
nome : 6
argumento : 6
pai : 5
queixar : 5
doença : 5
noite : 5
afirmar : 5
chorar : 5
comprar : 5
produzir : 5
esquentar : 5
nazismo : 5
brasileiro : 5
vergonha : 5
agravar : 5
interesse : 5
conspirar : 5
altura : 5
talvez : 5
mão : 5
plantar : 5
acordar : 5
tentar : 5
mês : 5
época : 5
irreversível : 5
ruim : 5
único : 5
imenso : 5
fossar : 5
ficção : 5
atenção : 5
petróleo : 5
fonte : 5
fato : 5
assustar : 5
carvão : 5
mover : 5
referir : 5
forte : 5
era : 5
jogar : 5
unir : 5
adaptar : 5
consumir : 5
corrente : 5
produção : 5
enganar : 5
padronizar : 5
ártico : 5
prever : 5
primeiro : 5
ai : 5
ar : 5
desculpa : 5
igual : 5
vaca : 5
encontrar : 5
carro : 5
feliz : 5
necessário : 5
vírus : 5
origem : 5
olhar : 5
virar : 5
adulto : 5
norte : 5
cabeça : 5
ponto : 5
desistir : 5
plástico : 5
menos : 4
alteração : 4
crítico : 4
junto : 4
área : 4
rápido : 4
aceitar : 4
preparar : 4
tarde : 4
quantidade : 4
granizo : 4
brincadeira : 4
lado : 4
bondade : 4
básico : 4
próprio : 4
massa : 4
industriar : 4
evento : 4
pôr : 4
conta : 4
razão : 4
questão : 4
perguntar : 4
elevar : 4
apoiar : 4
tema : 4
crise : 4
período : 4
dúvida : 4
presidente : 4
monte : 4
adorar : 4
cobrir : 4
baixo : 4
louco : 4
gratuito : 4
sinal : 4
uso : 4
ganhar : 4
existência : 4
intensificar : 4
comum : 4
pegar : 4
investir : 4
maldito : 4
pouco : 4
variar : 4
ação : 4
ontem : 4
teoria : 4
grave : 4
imposto : 4
ego : 4
besteiro : 4
vaidade : 4
inventar : 4
besteira : 4
geografia : 4
população : 4
alerta : 4
esquerdista : 4
resto : 4
grupo : 4
alar : 4
cena : 4
episódio : 4
simples : 4
poluente : 4
impactar : 4
fóssil : 4
fenômeno : 4
café : 4
relação : 4
capaz : 4
informação : 4
farsa : 4
sociedade : 4
refletir : 4
gado : 4
ódio : 4
até : 4
ignorância : 4
tratar : 4
situação : 4
malta : 4
situar : 4
camada : 4
prova : 4
aula : 4
provar : 4
vago : 4
vaga : 4
tempestade : 4
consenso : 4
coração : 4
interessar : 4
alimentar : 4
conversar : 4
sul : 4
voltar : 4
pé : 4
degelo : 4
escrever : 4
considerar : 4
ditadura : 4
amigo : 4
frente : 4
força : 4
longo : 4
preciso : 4
comedir : 4
faculdade : 4
sair : 4
entanto : 4
guerra : 4
bastante : 3
característica : 3
basta : 3
emprego : 3
prazo : 3
cheio : 3
americano : 3
senhor : 3
paz : 3
projeto : 3
fruto : 3
gargalhar : 3
inteligente : 3
propor : 3
econômico : 3
pesquisar : 3
febre : 3
roto : 3
rota : 3
afirmação : 3
enfrentar : 3
ozônio : 3
assumir : 3
artigo : 3
significar : 3
seguir : 3
marina : 3
causalidade : 3
benefício : 3
travar : 3
congelar : 3
igualdade : 3
agricultura : 3
solução : 3
ácido : 3
temer : 3
automóvel : 3
trabalhar : 3
fantástico : 3
preocupante : 3
corpo : 3
atual : 3
galera : 3
luz : 3
tópico : 3
calma : 3
cigarro : 3
domingo : 3
discurso : 3
promover : 3
colapso : 3
citar : 3
curto : 3
jornal : 3
curso : 3
publicar : 3
superfície : 3
errar : 3
prejudicar : 3
recente : 3
crescente : 3
online : 3
meta : 3
dinossauro : 3
ameaçar : 3
demonstrar : 3
especialista : 3
causal : 3
geração : 3
responder : 3
combate : 3
olho : 3
roupa : 3
preocupação : 3
aprender : 3
bastar : 3
gorar : 3
português : 3
volta : 3
desmentir : 3
fase : 3
livro : 3
rico : 3
comuna : 3
quanto : 3
rir : 3
climatologia : 3
alimento : 3
metano : 3
decidir : 3
crer : 3
intenso : 3
brasa : 3
urso : 3
sensibilizar : 3
evidência : 3
demais : 3
contar : 3
espécie : 3
ultrapassar : 3
cair : 3
furacão : 3
objetivo : 3
emissor : 3
plantio : 3
merecer : 3
rua : 3
sustentável : 3
debate : 3
comprovar : 3
afundar : 3
matéria : 3
comunista : 3
mediterrâneo : 3
metro : 3
julho : 3
arrefecer : 3
jeito : 3
utilizar : 3
árvore : 3
suicidar : 3
maneira : 3
mitigar : 3
confiar : 3
cabelo : 3
diferença : 3
tendência : 3
frequente : 3
hemisfério : 3
resposta : 3
mentir : 3
cá : 3
pequeno : 3
aguentar : 3
sobreviver : 3
foto : 3
gargalhada : 3
impossível : 3
falácia : 3
burro : 3
barato : 3
refinaria : 3
luta : 3
aproveitar : 3
bolso : 3
mental : 3
total : 3
bolsa : 3
comunidade : 3
pobre : 3
instalar : 3
basear : 3
seco : 3
respeito : 3
porta : 3
moderar : 3
contexto : 3
atacar : 3
desenvolver : 3
irmão : 3
esfriar : 3
dano : 3
caber : 3
afinal : 3
significativo : 3
inteiro : 3
funcionar : 3
deitar : 3
justo : 3
presença : 3
churrasco : 3
pleno : 3
setor : 3
marítimo : 3
dinheiro : 3
automático : 3
causador : 3
doido : 3
assar : 3
arar : 2
churrasqueira : 2
perigo : 2
incontestável : 2
interessante : 2
relacionar : 2
pauta : 2
atípico : 2
histórico : 2
gestor : 2
responsabilidade : 2
imprevisível : 2
sala : 2
resumo : 2
ressurgir : 2
inundar : 2
pau : 2
contrário : 2
anedótico : 2
maluco : 2
conservar : 2
motivo : 2
astrologia : 2
urgente : 2
duradouro : 2
china : 2
ordenar : 2
meteorologia : 2
esgotar : 2
esporádico : 2
encher : 2
pergunta : 2
acumular : 2
academia : 2
botar : 2
reportagem : 2
biodiversidade : 2
engolir : 2
atirar : 2
combustível : 2
combinar : 2
preto : 2
ambição : 2
estocar : 2
aperceber : 2
preservar : 2
importância : 2
pena : 2
bagulho : 2
prestar : 2
falhar : 2
soltar : 2
brincar : 2
ilegal : 2
anunciar : 2
pera : 2
pobreza : 2
ecológico : 2
arrumar : 2
suíço : 2
choque : 2
câncer : 2
irar : 2
admitir : 2
chão : 2
hídrico : 2
adequar : 2
centro : 2
previsão : 2
hipótese : 2
dobrar : 2
desejo : 2
orgânico : 2
gastar : 2
papa : 2
ameaça : 2
porco : 2
formar : 2
letra : 2
novela : 2
parede : 2
corte : 2
desafio : 2
europeu : 2
assinar : 2
lua : 2
antigo : 2
mimo : 2
infernal : 2
carvalho : 2
interferir : 2
relatório : 2
estação : 2
marco : 2
oceânico : 2
questionar : 2
safar : 2
teto : 2
verdadeiro : 2
banho : 2
xenofobia : 2
juro : 2
grama : 2
jamais : 2
imprensa : 2
unicamente : 2
palma : 2
bandeiro : 2
loucura : 2
prevenção : 2
bandeira : 2
desgraçar : 2
positiva : 2
pesquisa : 2
combinação : 2
condição : 2
tamanho : 2
equação : 2
proteger : 2
envolver : 2
surpreender : 2
servir : 2
cobrar : 2
biomassa : 2
negócio : 2
cura : 2
declarar : 2
sentido : 2
receber : 2
taxa : 2
alheio : 2
redondo : 2
custar : 2
criação : 2
desaparecer : 2
valor : 2
litoral : 2
média : 2
positivo : 2
refutar : 2
denso : 2
incluir : 2
sugerir : 2
emitir : 2
guia : 2
converso : 2
lançar : 2
enfiar : 2
indígena : 2
exigir : 2
somente : 2
mosquito : 2
base : 2
lucrar : 2
sistema : 2
socorro : 2
demorar : 2
invadir : 2
universidade : 2
avanço : 2
dormir : 2
biocombustível : 2
cultura : 2
vilão : 2
influência : 2
pijama : 2
militar : 2
caverna : 2
velho : 2
papel : 2
agir : 2
perigoso : 2
município : 2
bizarro : 2
fumar : 2
pronto : 2
notar : 2
aguar : 2
preferir : 2
implementar : 2
via : 2
cromar : 2
cagar : 2
sensação : 2
passo : 2
verificar : 2
primavera : 2
exército : 2
sustentar : 2
ganância : 2
chocar : 2
vista : 2
cloro : 2
buraco : 2
inventário : 2
conter : 2
significado : 2
infeliz : 2
sonho : 2
holocausto : 2
independente : 2
perverso : 2
abrir : 2
voz : 2
