id;texto
"1042140818621050881"; "@fsouzajrjuca eu incluiria aquecimento global nessa lista"
"1039332265745104897"; "e depois falam que o aquecimento global é ruim"
"1038300013913427968"; "@abelcarvalhocom @aventuras_js mas aquecimento global é coisa de esquerdista. acontece que por acaso a esquerda está certa nesse caso"
"1043876674608214017"; "eu, bruna e nycollas quase morremos enquanto voltavamos pra casa, tudo culpa do aquecimento global"
"1039507622171308032"; "aquecimento global é mentira."
"1045104595008139264"; "@luscas efeito estufa"
"1038837966221844480"; "sou muito sensível com o meio ambiente to vendo um documentário sobre o aquecimento global a 30 minutos e to chorando horrores"
"1041754938517401600"; "não existe aquecimento global"
"1037179328793141249"; "se daniel sair vou ficar mt puta e culpar paulo até pelo aquecimento global masterchefprofissionais"
"1042913610949898240"; "que calor é esse desgraca vai se fuder essas ilhas de calor inversao termica aquecimento global do caralho"
"1037453779015094272"; "gostei de um vídeo @youtube moura x ricardo felício - aquecimento global."
"1043516776879919105"; "@sayd71875573 @estadao urnas fraudadas, nazismo de esquerda, terra plana, vacinas fazem mal, evolução das espécies é só uma teoria, ma"
"1042129718101848073"; "opa! a terra é plana e isso que vocês chamam de aquecimento global não existe. kk"
"1046485288611004416"; "indígenas afetados por mudança climática querem políticas de prevenção"
"1035711514928467968"; "@samuelrip @profrfelicio aquecimento global não é uma teoria aceita unanimamente. grande parte é cética quanto a isso. se você acha que dezenas de milhares de doutores e pesquisadores são analfabetos funcionais, continue dentro de tua bolha."
"1036806095984095234"; "menina sueca de 15 anos se recusa a ir ao colégio para protestar contra o aquecimento global no parlamento. https://t.co/mzrsi7wqtu"
"1038205680686129153"; "@binerighetti cuidado com o aquecimento global, vai estragar seu polenguinho!"
"1043214058948845568"; "@bolsomitodopovo @joaogabryell555 @sempre_fogo eles tem o dever de dar exemplo para o resto da populaçao, ate porque tb ñ esta provado que o aquecimento global ñ esta acontecendo."
"1038803019561758721"; "gostei de um vídeo @youtube ? "aquecimento global": a maior "fake news" da história. veja"
"1035497310493581313"; ""um artigo publicado pelo institute for agriculture and trade policy (iatp), heinrich boll foundation e pela grain, revela que só em 2016 a brasileira jbs, a cargill e a tyson foods – as duas dos eua, geraram mais gases de efeito estufa do que a frança.""
"1037843503986958336"; "capitão planeta subversivo vai dizer que o aquecimento global é uma farsa e que a terra é plana."
"1040349553805979654"; "daqui a pouco o ciro gomes vai soltar um pum, o pessoal do mbl vai ver e vai falar "nossa! está aumentando o efeito estufa. é nesse safado que vocês vão votar?"."
"1042961478779846657"; "super interessante apesar do péssimo título. o primeiro país que o mar vai engolir com a mudança climática via @elpais_brasil"
"1043958772253757446"; "mano olha esse calorcada dia mais tô acreditando no aquecimento global"
"1045765395263770628"; "@wtvbitch_ até eu sou afetado, o aquecimento global está a lhe dar a sério"
"1036637883371794432"; "@ruitavares alô centristas europeus, também podem ouvir a opnião de mujica quando crítica o projeto europeu "mujica critica europa por não solucionar imigração e mudança climática""
"1045319795267252224"; "o eixo de rotação da terra está a mudar e a culpa é do aquecimento global"
"1036026720787279873"; "aquecimento global vai estimular crescimento de insetos e pragas, diz estudo"
"1036792844986605569"; "essa mudança climática de cg fez meu nariz sangrar tanto hoje que eu achei que tava morrendo pelo nariz"
"1042160050125594624"; "com o tema "fique frio e siga em frente" o protocolodemontreal acordo que busca eliminar os produtos e substâncias que destroem a camadadeozônio comemorou 31 anos.o brasil já eliminou 98% destas substâncias mas ainda temos um longo caminho pela frente https://t.co/8lsdezrwjv"
"1043572503694794758"; "nossa fauna diminui a cada dia, nossas florestas são derrubadas, a cada ano, o aquecimento global aumenta, porém muitos fecham os olhos para todos esses fatos, inclusive candidatos a presidência, sejam a voz da natureza e dos animais elenão"
"1039216250038218753"; "reunião sobre mudança climática termina dividida por financiamento via @agenciabrasil"
"1041281568508129280"; "nasa lança satélite com laser para estudar consequências do aquecimento global"
"1045065401095409665"; "o aquecimento global é uma realidade"
"1044004270335545344"; "que bom que o mino queimou a cadeira ne agora tem muito mais jovens preocupados com o aquecimento global comentando pra ele não queimar cadeiras"
"1037662932115644417"; "pérolas do eduardo jorge: “o pum da vaca causa aquecimento global.” “sonho com o dia da libertação dos animais, à semelhança do fim da escravidão.” é mole?! um sujeito desse não podia ser candidato a vice-presidente da república. já está eleito como doido varrido do hospício!"
"1045153292479868928"; "caralho o aquecimento global veio com tudo esse ano bicho porra"
"1043954108800086016"; "@javanzord"
"1036334383119171585"; "esse aquecimento global está foda"
"1046543086673891328"; "sério que o aquecimento global, aquele que faz o calor aumentar, formar nuvens e proporcionar chuvas, botou a doentada pra correr? que peninha"
"1042006151393509377"; "como um dos gases mais poluentes e responsáveis pelo aquecimento global é o co? https://t.co/j79u1osefe"
"1046199560232751104"; "@annesamyra_ olá anne! devido a nossa transmissão ser via satélite, a mudança climática de temporais, chuvas e nuvens podem realmente causar intermitência e ausência de sinal por alguns instantes. nestes casos, reinicie seu receptor, caso o erro persista, nos chame via dm."
"1041527374607777792"; "e o trump ainda fala que não existe efeito estufa. então toma furacão, chuva torrencial, tempestade. cada um tem na vida o que merece. ???? fantástico"
"1040763708375482368"; "@cachorra_urubu puts, quase peguei câncer hoje conversando com um conhecido quando descubro que ele, além de minion, nega o aquecimento global o cara é basicamente esse teu comentário, mas sem ironia"
"1043533493173653504"; "muitos ods se relacionam à proposta de reflexão que esta data motiva, como o ods 7 - energias renováveis e acessíveis, o ods 11 - cidades e comunidades sustentáveis, e o ods 13 - ação contra a mudança climática."
"1037392725245669376"; "mentiras convenientes - a fraude do "aquecimento global""
"1037343968185540608"; "@bucetossauro_ usa o secador de cabelo pra esquentar a pirrola, pois não teremos aquecimento global."
"1037827826920112129"; ""investiremos em pesquisa e inovação tecnológica para tornar mais eficientes e reduzir os custos, as emissões de gases de efeito estufa e o consumo de energia, nos sistemas de coleta e tratamento de esgoto." (trecho das diretrizes do plano de governo de marina silva e eduardo)"
"1046388068033417218"; "indígenas afetados por mudança climática querem políticas de prevenção"
"1045053353259139072"; "efeito estufa,açao reaçao estria no corpo ai vai vasilao, manda joga na vêia e depois no coração risos risos"
"1035879616223870976"; "enquanto os togados só pensam em aumento de salário e em auxílio moradia, o mundo vai pedindo para nós uma nova abordagem sobre o futuro. o aquecimento global é um fato."
"1046761938116628482"; "@iporgacios @_queldamiani aquecimento global é um complô do pt pra eleger o lila"
"1036768358216159232"; "@pauladeboni_ e é pra onde que a sra vai que tem toda essa mudança climática?"
"1044231004586733570"; "@lucianotakaki @mikaelts87 você não acha que está amenizando demais os absurdos defendidos pelo papa francisco com o adjetivo de fraco? ele propaga erros doutrinários graves como a questão pena de morte, defende teses mentirosas e globalistas como aquecimento global."
"1035742824375959557"; "@vn_fontenele cara você já estudou metodologia científica. sabe a o conhecimento é feito de consenso. sinceramente quero que se foda quem não acredita em gravidade. o consenso é a lei da gravidade. o mesmo vale para o fator antrópico no aquecimento global."
"1044512436370444288"; "@enquetesfutebas @brendagduarte @pauloap @joicehasselmann @lpbragancabr votem no @profrfelicio por favor, precisamos de alguem que desmascare as falácias do aquecimento global na tribuna"
"1041434729235603457"; "@taotabom24 aquecimento global é foda"
"1044342622880485378"; "@ephemeraishit "que aquecimento global é esse?""
"1046891187402170368"; "aquecimento global"
"1041391207035789313"; "nasa lança satélite com laser para estudar consequências do aquecimento global https://t.co/iwsmvk5zx8"
"1039536545122766848"; "governo trump busca aprovar nova lei que favorece aquecimento global"
"1046792855396737025"; ""para denunciar estes problemas e discutir formas de adaptação e prevenção dos efeitos climáticos sobre os povos tradicionais, o"
"1043129414748463104"; "que ótimo agora eu to resfriado, está feliz mudança climática?"
"1041954109685948416"; "desisto das eleições .. só vem aquecimento global .. estarei na praia para o tsunami"
"1037062785585307648"; "antes que leia merda vou só informar que quem culpar o aquecimento global por esta chuva é oficialmente retardado"
"1046392210382565376"; "indígenas afetados por mudança climática querem políticas de prevenção -"
"1040234521940160513"; "sujeito votar na marina porque ela vai combater o agronegócio é como plantar uma samambaia em casa achando que vai combater o aquecimento global --&gt; perdidão nas hordas da boa vontade"
"1041970489986564096"; "@isaa__01 agora, faz uma enquete para os seus seguidores pra saber quem acredita nas mudanças climáticas causadas pelo aquecimento global.pq a moda hoje é falar em todos os lugares que isso é mentira.eu tenho é pena do mundo."
"1043135399919583233"; "um de alguns desastre que de natural não tem nada - klein, naomi - 2018 qndo é que a gente vai falar de mudança climática, alternativas a combustíveis fósseis, preservação de recursos naturais e etc mesmo regulamentaçãodamídia mudançaclimática amazônia"
"1046014913003573249"; "aquecimento global pode modificar eixo de rotação da terra, aponta estudo da nasa via @uolnoticias @uol"
"1036690373526151171"; "insetos em um clima mais quente devem ser ainda mais famintos e mais numerosos aquecimento global mudançasclimáticas agricultura"
"1041737153397571584"; "o que seu candidato vai fazer a respeito do aquecimento global o @obsclima investigou o programa de governo dos presidenciáveis. confira em https://t.co/qt4y0r9p8l"
"1045618966314586112"; "aquecimento global pode modificar eixo de rotação da terra, aponta estudo da nasa"
"1036324436016852992"; "@rcp01 o aquecimento global já é realidade. e agora -via @nytimes"
"1041305038461775872"; "@debofischer tem um predador que está preocupado com os humanos e o aquecimento global."
"1045386074296635400"; "o eixo de rotação da terra está a mudar e a culpa é do aquecimento global"
"1043281454740860928"; "como eu começo estudando: - "causas para aquecimento global" como eu termino estudando: -" saco que recolhe peido de vaca para evitar emissão de ch4""
"1046896706426687488"; "puta que pariu vou bater em quem diz que o aquecimento global não existe"
"1042160678965002242"; "aquecimento global está fazendo vazar ácido do solo do ártico"
"1035900857626198018"; "aquecimento global vai estimular crescimento de insetos e pragas, diz estudo https://t.co/6ygw0r3au0"
"1036050333854773248"; "@anna_pandolf0 com esse aquecimento global fica dificil diferenciar os bicho"
"1044995225171763202"; "passou o inverno todo e nenhuma crise de rinite e agora essa caralha pq? mudança climática??? aaaaaaaaaaaaa"
"1039013865353297920"; "nunca antes na história humana do mundo, a situação da natureza foi tão ruim como nesses tempos de desmatamento em escala colossal, onda de extinção causada pelo homem, poluição maciça, florestas vazias e aquecimento global."
"1037337725194698754"; "países ricos evadem a sua responsabilidade com a mudança climática, segundo ong"
"1036013961848733696"; "li um tweet falando que o aquecimento global é culpa das larries eu ri mais do que devia"
"1043999341470461952"; "primeiro a gente pergunta se a pessoa acredita em aquecimento global, depois a gente beija"
"1038494264563589120"; "coisas que eu teria de acreditar se desse ouvidos a idiotas que ganharam voz com a internet: - o homem nunca pisou na lua - a terra é plana - peido de vaca causa aquecimento global - bolsonaro não foi esfaqueado, ele criou uma ilusão com ajuda de médicos renomados e autoridades"
"1036418620736331776"; "a superpopulação é uma das principais causas do aquecimento global. essa é a cidade do méxico, um dos lugares mais densamente povoados do mundo. https://t.co/d6wydkjin2"
"1041018366796943360"; "nasa lança satélite com laser para estudar consequências do aquecimento global"
"1035916359631347712"; "aquecimento global vai estimular crescimento de insetos e pragas, diz estudo"
"1043137065679048705"; "aquecimento global. fenómenos estranhos. lapas gigantes invadem praia. help!!!"
"1037407342193766401"; "ação contra mudança climática renderia us$ 26 trilhões à economia mundial, diz estudo benefícios de adotar uma economia pouco poluente foram 'extremamente' subestimados, avalia comissão. uma ação ambiciosa contra a mudança climática poderia contribui https://t.co/t8wjsqzems"
"1036640970085945344"; "@jpngnpjpng valeu ai jotapenus, e eu ja to acostumado com o efeito estufa no meu pulmão todo dia"
"1037713560204443648"; "o vendedor ambulante ilegal no metrô vendendo seus chocolatinho viu um guarda escondeu o bagulho e falou: galera se alguém perguntar era uma palestra sobre aquecimento global valeu véi o brasileiro ksjsksjksk"
"1039701980254547970"; "se ele quisesse mesmo conquistar os cientistas, colocaria um cientista que sabe gestão e que é ambientalista, já que a gente está vivendo os pesadelos do aquecimento global."
"1045337444630040577"; ""de estados norte-americanos à gigante varejista walmart, governos e negócios prometeram proteger terras naturais que ajudam a frear o aquecimento global em uma cúpula climática internacional""
"1044351555762376704"; "isso é só consequência do aquecimento global e cada vez vai ficar mais e mais calor se nois nao parar de poluir a porra do meio ambiente"
"1041623591488573440"; "@clara_seghetto eu chorei com "mudança climática é invenção pra aumentar miséria e diminuir o cristianismo"."
"1038910978040242178"; "@jqteix detalhe: o peido de trump aumenta o efeito estufa!!!"
