id_usuario;followers
14594813; "6283791"
9317502; "6163397"
54341363; "5570928"
214570761; "5398729"
65473559; "4495232"
80937256; "2935640"
30070288; "2340462"
16334137; "1930634"
16632084; "1825564"
14946999; "1556229"
29913589; "1378367"
13531162; "1114797"
24237705; "1005129"
85008170; "951502"
19351269; "766410"
44005522; "746842"
20799928; "687790"
2561091; "670751"
61843152; "665136"
67150902; "650723"
45409867; "623656"
17163446; "621020"
76651032; "533840"
17229791; "519368"
11160692; "481698"
388733606; "444373"
8665852; "385144"
1540034828; "378672"
42593930; "328220"
54527239; "322984"
227078562; "310007"
16451028; "308993"
57763444; "277063"
349106859; "263757"
31496702; "252156"
19889294; "235232"
59009527; "231455"
31475618; "225945"
12689622; "217221"
8189252; "210300"
40261159; "210179"
26276346; "206500"
84076180; "205615"
6506272; "185714"
347133; "156811"
62703362; "145822"
306455439; "142304"
193003734; "142079"
38498888; "139890"
94195631; "136678"
758519817578086400; "132982"
310497473; "127209"
14595118; "126889"
151888280; "119740"
395388847; "117677"
234032088; "106822"
64257256; "106173"
1875887166; "98341"
6135602; "92569"
548024965; "91960"
17503188; "82366"
1629241; "81661"
324945570; "78218"
17465506; "75181"
22283899; "73723"
51588583; "72282"
861707648584085504; "70590"
89256517; "68698"
106865119; "62385"
18144791; "62336"
522628431; "61403"
594196883; "49194"
193013726; "46768"
66539961; "45649"
40328001; "45074"
151635190; "40974"
2437579938; "38851"
20206810; "38210"
86462170; "37897"
50850883; "37529"
318871199; "36793"
173851898; "36756"
47961740; "36510"
17624543; "36168"
113410319; "35412"
19406250; "34663"
174399490; "34638"
56967376; "33524"
14500784; "33060"
28958495; "32181"
14277534; "31734"
35524446; "31551"
13124602; "31444"
716073634645860352; "31114"
2569100124; "28907"
122533022; "28814"
169993414; "27756"
3317555339; "27706"
169177005; "27133"
1898006310; "27041"
338335282; "26793"
14077645; "26015"
719257910174466052; "24192"
67778641; "24087"
62601015; "23909"
266677514; "23277"
41843161; "23086"
56441916; "22868"
22951311; "22693"
67302940; "22251"
74214905; "21735"
62517611; "21313"
716701697; "20487"
24674420; "20287"
252605340; "20270"
499107662; "20063"
610345406; "19851"
22905057; "19672"
219368520; "19071"
179072475; "18956"
120663759; "18904"
347384835; "18277"
323219591; "18224"
27338874; "17950"
21101930; "17162"
626725650; "17143"
719759733; "17112"
67413530; "16801"
47920778; "16372"
44632152; "16341"
20380673; "16134"
3037957145; "15955"
132227518; "15554"
8884772; "15338"
41123392; "15200"
234013154; "14992"
869694949385785344; "14841"
78958080; "14742"
541189556; "14684"
139765160; "14600"
1938503893; "14598"
735567688303575042; "14580"
2559342123; "14442"
51343314; "13913"
2533759422; "13853"
2330949535; "13448"
2949571850; "12906"
3907825898; "12903"
16559013; "12864"
468352539; "12665"
786208683315367937; "12477"
188683808; "12295"
